sleeveless,0,426734,no_sleeves
detached_sleeves,0,425276,"armsleeves,detached_sleeve,/dsleeves,naked_sleeves"
pants,0,419342,"long_pants,slacks,trousers"
green_hair,0,417225,"/greenh,greenhair"
shoes,0,415943,shoe
penis,0,408988,"cock,cocks,dick,dicks"
choker,0,403663,
japanese_clothes,0,395321,"japanese_clothing,traditional_japanese_clothes,wafuku"
virtual_youtuber,0,392916,vtuber
pointy_ears,0,388423,"elf_ears,elven_ears,long_ears,pointed_ears,pointy_ear,pointy-ears"
socks,0,383345,"leghighs,naked_socks,sock"
tongue,0,378559,tongues
medium_hair,0,377425,shoulder-length_hair
artist_name,0,375047,
barefoot,0,370744,"bare_feet,barefeet,bare_foot"
glasses,0,366533,"megane,meganekko,meganeko"
pussy,0,362783,"manko,vagina,vulva"
indoors,0,360433,
solo_focus,0,356988,
hand_up,0,350006,"hand_raised,one_hand_raised,raised_hand"
puffy_sleeves,0,349296,"/psleeves,puffy_shoulders"
black_thighhighs,0,346073,
belt,0,344785,belts
day,0,341956,
hairclip,0,335700,"barrette,hair_clip,hair_clips,hairclips"
official_alternate_costume,0,329149,"alternate_costume_(official),official_alternate_outfit"
fate_(series),3,324179,
fang,0,321882,
serafuku,0,315787,"sailor_fuku,/se"
official_art,5,307221,
elbow_gloves,0,304667,"/eg,long_gloves,opera_gloves"
bowtie,0,302848,"bow_tie,neck_bow"
2boys,0,302206,2boy
midriff,0,300507,
white_gloves,0,299446,white_glove
black_skirt,0,297770,
hood,0,297468,
signature,0,297248,"artist_signature,autograph,signed"
cloud,0,291783,clouds
blunt_bangs,0,289395,
black_footwear,0,287208,"black_boots,black_shoes"
dark_skin,0,285606,"brown_skin,darkskin,dark_skin_female,dark_skinned_female"
looking_back,0,281064,"looking_over_shoulder,turning"
cat_ears,0,280730,"/cat,catears,nekomimi"
hair_flower,0,279126,"flower_hair_ornament,flower_in_hair,hairflower,hair_flowers,/hflower"
tongue_out,0,278625,
pink_eyes,0,278059,
sailor_collar,0,275240,
sword,0,274858,swords
stomach,0,268550,
speech_bubble,0,267859,"speech_balloon,text_bubble,word_bubble"
sex,0,266863,"fuck,fucking"
white_dress,0,266835,
twitter_username,0,266671,artist_twitter
pokemon,3,265951,"pocket_monsters,pokémon,pokemons"
halo,0,265497,
looking_at_another,0,264736,
grey_background,0,264316,"gray_background,/graybg,/greybg"
holding_weapon,0,260881,
fingerless_gloves,0,260809,fingerless_glove
miniskirt,0,260491,"mini_skirt,short_skirt"
wide_sleeves,0,256266,/wsleeves
spread_legs,0,253547,"legs_spread,open_legs,spread_leg"
mole,0,252542,beauty_mark
on_back,0,252306,"lying_on_back,supine"
cum,0,247606,"cumshot,semen,sperm"
necklace,0,246864,
streaked_hair,0,245773,highlights
hair_over_one_eye,0,245322,"eye_covering_bang,hair_over_eye,/hooe"
blue_archive,3,244929,
hair_bun,0,244545,
3girls,0,243352,3girl
armpits,0,242575,"armpit,showing_armpits"
chibi,0,242103,super_deformed
off_shoulder,0,240729,"off-shoulder,off_shoulders"
open_jacket,0,239904,"open_blazer,open_track_jacket"
kimono,0,239690,
nail_polish,0,239251,"colored_nails,nailpolish,nail_varnish,painted_nails"
two-tone_hair,0,238891,"/tth,two-tone-hair,two_tone_hair"
english_text,0,238224,english
fate/grand_order,3,238192,fgo
orange_hair,0,237718,
star_(symbol),0,237573,
striped_clothes,0,235930,striped_clothing
tears,0,235779,tear
black_dress,0,235550,
grin,0,233048,grinning
black_jacket,0,232705,black_blazer
from_behind,0,232537,viewed_from_behind
black_eyes,0,230141,dark_eyes
rabbit_ears,0,229500,"bunny_ear,bunny_ears,rabbit_ear"
idolmaster,3,229477,"idol_master,idolm@ster,the_idolmaster"
sweatdrop,0,227337,"sweat_drop,sweat_drops,sweatdrops"
blurry,0,227271,blurred
bag,0,226901,bags
coat,0,225416,
water,0,223006,
from_side,0,222299,"side,side_view,viewed_from_side"
genshin_impact,3,219147,genshin
yuri,0,218075,"girl_love,girl's_love,girls_love,lesbian,shoujo-ai"
hololive,3,216762,
vest,0,214699,
cape,0,214665,
white_thighhighs,0,213752,
black_shirt,0,211417,black_blouse
armor,0,210293,armour
scarf,0,210154,muffler
red_bow,0,209759,
huge_breasts,0,209571,"/hb,huge_boobs,huge_breast,huge_tits"
arm_up,0,208569,"arm_raised,one_arm_up,raised_arm"
clothes_lift,0,208350,
leotard,0,207549,
apron,0,207386,
character_name,0,203453,
bra,0,202214,
feet,0,201265,foot
mosaic_censoring,0,200107,"mosaic_censor,pixel_censor,rough_censoring"
high_heels,0,199327,"heels,highheels"
sweater,0,198780,sweatshirt
vaginal,0,195927,"vaginal_penetration,vaginal_sex"
animal_ear_fluff,0,195887,
blue_sky,0,195422,
crop_top,0,193861,
black_pantyhose,0,193626,
parted_bangs,0,193316,
bracelet,0,192769,"bracelets,wristlet"
collar,0,189985,
arms_up,0,188117,"arms_above,arms_above_head,arms_raised,hands_above_head,raised_arms"
:o,0,187436,:0
dated,0,187219,
white_panties,0,186962,
completely_nude,0,183500,completely_naked
grey_eyes,0,181866,"gray_eyes,silver_eyes"
cup,0,181549,"cups,drinking_cup"
commission,5,181214,
red_ribbon,0,180869,
hands_up,0,180440,hands_raised
twin_braids,0,180014,"double_braid,twin_braid,twinbraid,twinbraids"
fingernails,0,178799,"fingernail,finger_nails"
looking_to_the_side,0,178749,"looking_aside,looking_to_side"
dark-skinned_female,0,177835,dark_skinned_female
side_ponytail,0,176822,"side_tail,sidetail"
aqua_eyes,0,176787,"cyan_eyes,teal_eyes,turquoise_eyes"
puffy_short_sleeves,0,176251,short_puffy_sleeves
v-shaped_eyebrows,0,175433,
flat_chest,0,175181,"flatchest,flat_chested,pettanko,titty_buds,tsurupeta"
blue_skirt,0,174829,
two_side_up,0,173217,two_sides_up
neckerchief,0,172579,
orange_eyes,0,171697,
eyelashes,0,170428,eye_lashes
tree,0,167898,trees
symbol-shaped_pupils,0,164719,symbol_shaped_pupils
multiple_views,0,163210,
chinese_commentary,5,162928,
sleeves_past_wrists,0,161838,sleeves_past_wrist
covered_nipples,0,159741,"covered_erect_nipples,erect_nipple,erect_nipplees,erect_nipples,erect_nipples_under_clothes,errect_nipples,perky_nipples"
fur_trim,0,158246,fur_lining
mole_under_eye,0,157514,
vocaloid,3,156791,"/vo,vocaloid_2,vocaloid_3"
cat_tail,0,156754,cat_tails
clothing_cutout,0,156265,
strapless,0,156110,
hand_on_own_hip,0,153755,"hand_on_hip,hand_on_waist"
see-through_clothes,0,153590,"see-through,seethrough,sheer_clothes,sheer_clothing,transparent_clothing"
black_choker,0,152446,
toes,0,152446,
upper_teeth_only,0,152212,upper_teeth
legs,0,151997,leg
wrist_cuffs,0,151507,"detached_cuffs,wrist_cuff,wristcuff,wristcuffs"
v,0,151368,"peace_sign,v_sign"
feet_out_of_frame,0,151198,
sketch,0,151011,"rough,rough_sketch,/sk"
bar_censor,0,150417,"censor_bar,censor_bars"
sleeveless_shirt,0,150241,sleeveless_blouse
sleeveless_dress,0,149779,
wet,0,148337,"soaked,wet_body,wet_skin"
sparkle,0,148007,"sparkles,sparkling"
loli,0,147683,"lolicon,rori"
maid,0,147530,"maid_costume,maid_dress,maid_outfit,maids,maid_uniform"
groin,0,147453,"adonis_belt,hip_lines,mound_of_venus"
no_humans,0,147269,no_human
fake_animal_ears,0,147225,
pokemon_(creature),0,145568,
fox_ears,0,144819,"/fox,kitsunemimi"
torn_clothes,0,144139,"ripped_clothes,ripped_clothing,tornclothes,torn_clothing"
gun,0,143964,"firearm,guns"
maid_headdress,0,143947,"maid_cachusha,maid_headband"
pillow,0,143830,"black_pillow,blue_pillow,green_pillow,grey_pillow,orange_pillow,pillows,pink_pillow,purple_pillow,red_pillow,white_pillow,yellow_pillow"
thigh_strap,0,142279,"legband,thigh_band,thighband,thigh_belt,thigh_straps"
muscular,0,141587,"muscle,muscles,muscular_male"
black_pants,0,141161,
short_shorts,0,140958,"booty_shorts,hot_pants,hotpants,minishorts"
buttons,0,140643,button
gradient_background,0,140176,"/gbg,/gradientbg"
ascot,0,140139,"cravat,jabot"
head_tilt,0,139388,
sash,0,139180,
lips,0,139133,
bare_arms,0,139091,
book,0,138860,books
neck_ribbon,0,138431,
black_bow,0,137914,
arknights,3,137253,mingri_fangzhou
gradient_hair,0,137138,
cosplay,0,136368,
one-piece_swimsuit,0,136279,"one-piece,one_piece_swimsuit"
pubic_hair,0,136069,"hairy_pussy,pubes,pubichair"
border,0,135515,"bordered,windowbox,windowboxed"
bare_legs,0,135470,
tattoo,0,135355,"tatoo,tattoos"
black_panties,0,134654,
zettai_ryouiki,0,134547,"absolute_territory,zettai_ryouki,/zr"
uncensored,0,134132,"descensored,uncensoring"
plaid_clothes,0,134114,plaid_clothing
covered_navel,0,133238,clothed_navel
black_ribbon,0,132770,
hoodie,0,132620,
window,0,132159,
colored_skin,0,131839,
detached_collar,0,131380,
petals,0,130081,"flower_petals,petal"
single_braid,0,129905,
blurry_background,0,129836,
profile,0,129076,in_profile
azur_lane,3,128980,bilan_hangxian
blood,0,127900,
kneehighs,0,127382,"knee_highs,kneehigh_socks,knee_socks,kneesocks"
floating_hair,0,127282,"hair_blowing,space_hair"
double_bun,0,126329,"buns,double_buns,double_hair_bun,hair_buns,odango,twin_bun,twin_buns"
shiny_skin,0,125438,glistening_skin
makeup,0,125294,"make-up,make_up"
mask,0,124800,masks
facial_hair,0,124509,
dress_shirt,0,124430,
pov,0,122685,male_pov
black_shorts,0,122053,
idolmaster_cinderella_girls,3,122027,cinderella_girls
bodysuit,0,121600,body_suit
blue_background,0,120874,"/bluebg,light_blue_background"
hug,0,120486,"embrace,hugging"
aqua_hair,0,120273,"cyan_hair,teal_hair,turquoise_hair"
blue_dress,0,119995,dark_blue_dress
swept_bangs,0,119964,
horse_ears,0,119532,
dutch_angle,0,119425,
shadow,0,119380,shadows
expressionless,0,119191,"emotionless,neutral_expression,unexpressive"
bell,0,118508,bells
capelet,0,118174,"mantle,shoulder_cape"
kneeling,0,118116,on_knees
sideboob,0,117980,"side_boob,side_boobs,sideboobs"
copyright_name,0,117804,"copyright_abbreviation,copyright_title,title_drop,title_name"
turtleneck,0,117747,turtle_neck
umamusume,3,117290,uma_musume
open_shirt,0,116937,"open_blouse,openshirt,/os,shirt_open"
:3,0,116830,
night,0,116617,
leaning_forward,0,115911,
anus,0,115908,"ass_hole,asshole,butt_hole,butthole"
blue_bow,0,115619,
horse_girl,0,115207,pony_girl
hair_intakes,0,114922,hair_vents
heterochromia,0,114685,odd_eye
skindentation,0,114339,
saliva,0,114252,"drool,spit"
black_bikini,0,113914,"black_bikini_bottom,black_bikini_top"
highleg,0,113461,
white_jacket,0,113360,
low_twintails,0,112167,
white_socks,0,112150,white_kneehighs
watermark,0,111572,"copyright_notice,watermarked"
4girls,0,111020,4girl
red_skirt,0,110795,
scar,0,110505,scars
on_bed,0,110142,
^_^,0,110141,^^
brown_footwear,0,109342,"brown_boots,brown_shoes"
pussy_juice,0,108865,"pussyjuice,pussy_juice_drip,vaginal_juices,wet_pussy"
siblings,0,108705,
fruit,0,108554,fruits
piercing,0,108426,"pierced,piercings"
black_hat,0,108263,
frown,0,107762,":(,:{,frowning"
alternate_hairstyle,0,107554,"/ahs,alternate_hair_style,alternative_hair_style,alternative_hairstyle"
holding_sword,0,107451,"holding_katana,holding_rapier"
bed,0,107163,
hatsune_miku,4,106634,/hm
rose,0,106022,roses
bird,0,105893,birds
chinese_clothes,0,105777,
nose_blush,0,105610,
leaf,0,105530,leaves
one_side_up,0,105045,
fox_tail,0,104508,
fangs,0,104096,
wavy_hair,0,104017,
soles,0,104004,sole
chain,0,103750,chains
animal,0,103648,animals
depth_of_field,0,103629,"/dof,focus_blur"
playboy_bunny,0,103599,"bunnygirl,bunny_suit,bunnysuit,playboy_bunny_leotard"
md5_mismatch,5,103255,
blush_stickers,0,102525,blush_sticker
beret,0,102447,
cum_in_pussy,0,102350,"cum_inside,nakadashi"
no_bra,0,102343,
glowing,0,102222,glow
halterneck,0,102013,"halter,halter_top,haltertop"
thick_thighs,0,101960,"big_thighs,fat_thighs,thighthick,thunder_thighs"
white_footwear,0,101929,"white_boots,white_shoes"
military,0,101876,
holding_hands,0,101732,"hand_holding,handholding,holding_another's_hand"
ocean,0,101138,sea
thick_eyebrows,0,100978,
witch_hat,0,100830,"witches_hat,witchhat"
underboob,0,100198,"under_boob,underbreast"
headband,0,99805,head_band
4koma,0,99629,"4coma,yonkoma"
muscular_male,0,99142,
blue_shirt,0,98829,blue_blouse
from_above,0,98806,"aerial_view,viewed_from_above,view_from_above"
phone,0,98624,telephone
headphones,0,98524,headphone
facial_mark,0,97996,"facial_marking,facial_markings,facial_marks"
cameltoe,0,97658,camel_toe
embarrassed,0,97268,"embarassed,embarrased,embarrassing,embarrassment"
non-web_source,5,97025,
erection,0,96551,erect_penis
military_uniform,0,96336,
looking_down,0,96175,
bottomless,0,95826,bottom_less
side-tie_bikini_bottom,0,95749,"side-tie_bikini,side_tie_bikini"
no_panties,0,95674,nopan
white_bikini,0,95648,"white_bikini_bottom,white_bikini_top"
bed_sheet,0,95528,"bedsheet,bed_sheets,bedsheets,sheet,sheets"
abs,0,95078,six_pack
blue_jacket,0,94956,blue_blazer
black_socks,0,94736,black_kneehighs
sunglasses,0,94539,shades
half-closed_eyes,0,94517,eyes_half_closed
arm_support,0,94468,
cum_on_body,0,94382,"cum_in_armpit,cum_on_arm,cum_on_armpit,cum_on_armpits,cum_on_arms,cum_on_back,cum_on_belly,cum_on_chest,cum_on_ear,cum_on_feet,cum_on_foot,cum_on_hand,cum_on_hands,cum_on_hips,cum_on_leg,cum_on_legs,cum_on_lower_body,cum_on_thigh,cum_on_thighs,cum_on_upper_body,semen_on_body,semen_on_lower_body,semen_on_upper_body"
lowres,5,94335,
pink_background,0,94245,/pinkbg
holding_food,0,94193,
bandages,0,93987,bandage
sandals,0,93922,sandal
hood_down,0,93293,
pectorals,0,93176,pecs
plaid_skirt,0,92933,tartan_skirt
bob_cut,0,92876,"bobbed_hair,okappa"
no_shoes,0,92856,
beach,0,92476,
frilled_dress,0,92424,"frilly_dress,ruffled_dress"
happy,0,92346,
back,0,92106,
white_flower,0,91975,
short_dress,0,91708,"mini_dress,minidress"
chair,0,91462,chairs
honkai_(series),3,91345,
red_dress,0,91291,
black_hairband,0,91119,
ass_visible_through_thighs,0,90604,"ass_fangs,butt_fangs,gluteal_fold"
dark-skinned_male,0,90388,dark_skinned_male
fire_emblem,3,90326,"/fe,fireemblem"
drill_hair,0,89870,"doriru,drillhair"
thigh_boots,0,89723,"thighboots,thighhigh_boots"
cat_girl,0,89638,catgirl
umbrella,0,89184,
floral_print,0,88911,"floral_pattern,flower_print"
on_side,0,88851,lying_on_side
love_live!,3,88667,
testicles,0,88323,balls
white_skirt,0,87940,
female_pubic_hair,0,87743,pubic_hair_(female)
flying_sweatdrops,0,87736,flying_sweatdrop
heart-shaped_pupils,0,87502,heart_shaped_pupils
white_bow,0,87303,
traditional_media,5,87193,"handdrawn,/trad"
arms_behind_back,0,86959,"/abb,arms_behind,hands_behind_back"
groping,0,86581,"fondle,fondling,grope"
squatting,0,86123,"crouch,crouched,crouching,squat"
transparent_background,0,85878,"/tbg,/transparentbg,transparent_gif,transparent_png"
scan,5,85755,
eating,0,85306,
ring,0,84959,rings
stuffed_toy,0,84955,"plush,plush_toy,stuffed_doll"
white_border,0,84953,
crossed_arms,0,84820,"arms_crossed,arms_folded,folded_arms"
cleavage_cutout,0,84795,"boob_window,cleavage_window,heart_cleavage_cutout,tit_window"
table,0,84769,
korean_commentary,5,84748,
6+girls,0,84385,"6+girl,6girl,6girls,7girls,8girls,9girls"
garter_straps,0,84265,garter_strap
wariza,0,83651,"w-legs,w_legs,w-sitting,w_sitting"
demon_horns,0,83503,devil_horns
animated,5,83451,animation
from_below,0,82958,"low_angle,viewed_from_below,view_from_below"
obi,0,82832,
sharp_teeth,0,82254,"pointed_teeth,pointy_teeth,spiked_teeth"
standing_on_one_leg,0,82179,"on_one_foot,on_one_leg,standing_on_one_foot"
portrait,0,82065,
bright_pupils,0,81950,
shirt_lift,0,81914,"lift_shirt,shirtlift,shirt_up,/shl,tank_top_lift,top_lift"
headgear,0,81895,
clothes_pull,0,81713,
wolf_ears,0,81253,"coyote_ears,ookamimimi"
copyright_request,5,81156,"/copy,series_request"
leg_up,0,80951,one_leg_raised
oral,0,80912,
black_background,0,80815,/blackbg
cat,0,80765,"cats,neko"
demon_girl,0,80755,"demongirl,demon_girls,succubus"
mouth_hold,0,80162,
cardigan,0,80096,
final_fantasy,3,79652,"/ff,finalfantasy"
wavy_mouth,0,79411,
hakurei_reimu,4,79395,"/hr,reimu_hakurei"
bound,0,78745,
helmet,0,78520,
tank_top,0,78510,tanktop
sunlight,0,78500,sunshine
scrunchie,0,78374,scrunchy
cellphone,0,78317,"cell_phone,keitai,mobile_phone"
own_hands_together,0,78093,hands_together
parody,0,77868,
thigh_gap,0,77701,
high_ponytail,0,77666,
moon,0,77337,
trembling,0,76984,"shiver,shivering,tremble"
antenna_hair,0,76796,"antennae_hair,double_ahoge"
magical_girl,0,76795,"magical_girls,magic_girl,mahou_shoujo"
crying,0,76783,cry
eyepatch,0,76635,eye_patch
hair_tubes,0,76343,hair_tube
crossed_legs,0,76299,"crossed_legs_(lying),crossed_legs_(sitting),crossed_legs_(standing),legs_crossed"
grass,0,76288,
colored_inner_hair,0,75993,
